全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考,,
170003,LL0000000001,石川県,石川県立尾小屋鉱山資料館,イシカワケンリツオゴヤコウザンシリョウカン,Ogoya Mine museum,172031,,石川県小松市尾小屋町カ1-1,石川県,小松市,尾小屋町,カ1-1,,尾小屋鉱山資料館東側出口を出て、東へ20m,36.29690,136.53737,,,5,3,2,0,3,2,1,0,0,0,0,無,無,無,0:00,23:59,12/1～3/24の冬季休館期間以外は終日使用可能,,,,,
170003,LL0000000002,石川県,石川県立白山ろく民俗資料館,イシカワケンリツハクサンロクミンゾクシリョウカン,"Hakusan folk museum,Ishikawa prefecture",172103,,石川県白山市白峰リ30,石川県,白山市,白峰,リ30,,園内入口,36.18023,136.62222,,,4,3,0,1,2,0,2,0,0,0,0,無,無,無,9:00,16:30,木曜日は休館日（木曜日が祝日の場合はその翌日）,,,,,
170003,LL0000000003,石川県,石川県産業展示館２号館横便所,イシカワケンサンギョウテンジカン２ゴウカンヨコベンジョ,Ishikawa Prefectural Industrial Exhibition Hall 2 side toilet,172014,,石川県金沢市袋畠町南120番3,石川県,金沢市,袋畠町南,120番3,,石川県産業展示館２号館横,36.57482,136.60457,,,8,5,0,3,6,0,6,0,0,0,2,有,有,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000004,石川県,石川県水産総合センター内水面水産センター,イシカワケンスイサンソウゴウセンターナイスイメンスイサンセンター,Ishikawa Prefecture Fisheries Research Center Inland Fisheries Research Institute,172065,,石川県加賀市山中温泉荒谷町ロ100番地,石川県,加賀市,山中温泉荒谷町,ロ100番地,,石川県水産総合センター内水面水産センターとなり,36.28825,136.42629,,,3,2,0,1,2,0,2,0,0,0,0,無,無,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000005,石川県,金沢競馬場,カナザワケイバジョウ,KANAZAWA　HORSE　PARK,172014,,石川県金沢市八田町西1番地,石川県,金沢市,八田町西,1番地,,バス停横,36.6347693,136.6732832,,,4,3,1,0,2,2,0,0,0,0,0,無,無,無,10:00,18:00,競馬開催時間によるため、日による。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000006,石川県,金沢競馬場,カナザワケイバジョウ,KANAZAWA　HORSE　PARK,172014,,石川県金沢市八田町西1番地,石川県,金沢市,八田町西,1番地,,Ｆ駐車場内,36.63316011,136.6762348,,,9,7,1,1,4,3,1,0,0,0,0,無,無,無,10:00,18:00,競馬開催時間によるため、日による。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000007,石川県,木場潟公園,キバガタコウエン,Kibagata Park,172031,,石川県小松市三谷町ら之部58番地,石川県,小松市,三谷町ら之部,58番地,,中央園地 パークゴルフ場,36.36559733,136.4510431,,,4,3,0,1,3,0,3,1,0,1,1,無,無,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000008,石川県,木場潟公園,キバガタコウエン,Kibagata Park,172031,,石川県小松市三谷町ら之部58番地,石川県,小松市,三谷町ら之部,58番地,,南園地菖蒲園,36.35698483,136.4390974,,,3,2,0,1,2,0,2,1,0,1,1,無,無,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000009,石川県,木場潟公園,キバガタコウエン,Kibagata Park,172031,,石川県小松市三谷町ら之部58番地,石川県,小松市,三谷町ら之部,58番地,,中央園地 多目的グラウンド,36.3673511,136.4487472,,,9,6,0,3,4,0,4,0,0,0,1,有,無,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
170003,LL0000000010,石川県,木場潟公園,キバガタコウエン,Kibagata Park,172031,,石川県小松市三谷町ら之部58番地,石川県,小松市,三谷町ら之部,58番地,,西園地,36.3702387,136.4431521,,,3,2,0,1,2,0,2,0,0,0,1,有,無,無,0:00,23:59,24時間利用可。,https://www.pref.ishikawa.lg.jp/digital/picture_toilet.html,CC BY 4.0,,,
