全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
170003,CC0000000001,旧金沢市立野町小学校,キュウカナザワシリツノマチショウガッコウ,kyukanazawashiritsunomachishogakko,172014,,金沢市野町３丁目11番１号,石川県,金沢市,野町3丁目,11番1号,,36.55282538,136.6481028,31,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000002,石川県立金沢中央高等学校,イシカワケンリツカナザワチュウオウコウトウガッコウ,ishikawakenritsukanazawachuokotogakko,172014,,金沢市泉本町６丁目105番地,石川県,金沢市,泉本町６丁目,１０５番地,,36.554056,136.638876,12,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000003,金沢市野町公民館,カナザワシノマチコウミンカン,kanazawashinomachikominkan,172014,,金沢市野町３丁目11番１号,石川県,金沢市,野町３丁目,11番1号,,36.55266036,136.6482128,31,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000004,金沢市立泉小学校,カナザワシリツイズミショウガッコウ,kanazawashiritsuizumishogakko,172014,,金沢市弥生１丁目26番１号,石川県,金沢市,弥生１丁目,２６番１号,,36.54972789,136.6463718,31,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000005,金沢市立泉中学校,カナザワシリツイズミチュウガッコウ,kanazawashiritsuizumichugakko,172014,,金沢市弥生１丁目26番１号,石川県,金沢市,弥生１丁目,２６番１号,,36.54908927,136.6463824,31,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000006,金沢市弥生公民館,カナザワシヤヨイコウミンカン,kanazawashiyayoikominkan,172014,,金沢市弥生１丁目29番13号,石川県,金沢市,弥生１丁目,２９番１３号,,36.54936094,136.6446655,27,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000007,弥生さくら公園,ヤヨイサクラコウエン,yayoisakurakoen,172014,,金沢市弥生１丁目753番２ほか,石川県,金沢市,弥生１丁目,７５３番２ほか,,36.54908165,136.6443972,26,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000008,金沢市立中村町小学校,カナザワシリツナカムラマチショウガッコウ,kanazawashiritsunakamuramachishogakko,172014,,金沢市中村町26番12号,石川県,金沢市,中村町,２６番１２号,,36.56086196,136.6420037,14,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000009,金沢市中村町公民館,カナザワシナカムラマチコウミンカン,kanazawashinakamuramachikominkan,172014,,金沢市中村町10番35号,石川県,金沢市,中村町,１０番３５号,,36.55943517,136.6419275,15,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000010,神泉児童公園,シンセンジドウコウエン,shinsenjidokoen,172014,,金沢市神田２丁目27番地,石川県,金沢市,神田２丁目,２７番地,,36.55949675,136.6352498,12,,172014,石川県,金沢市,,,,,,1,,1,1,,,,,,,,,,
170003,CC0000000011,神田町児童公園,カンダマチジドウコウエン,kandamachijidokoen,172014,,金沢市神田１丁目271番地,石川県,金沢市,神田１丁目,２７１番地,,36.56221646,136.6373807,13,,172014,石川県,金沢市,,,,,,1,,1,1,,,,,,,,,,
170003,CC0000000012,中村町児童公園,ナカムラマチジドウコウエン,nakamuramachijidokoen,172014,,金沢市中村町281番地,石川県,金沢市,中村町,２８１番地,,36.56118866,136.6441409,15,,172014,石川県,金沢市,,,,,,1,,1,1,,,,,,,,,,
170003,CC0000000013,白菊町緑地,シラギクチョウリョクチ,shiragikuchoryokuchi,172014,,金沢市白菊町370番地１ほか,石川県,金沢市,白菊町,３７０番地１ほか,,36.56001404,136.6465793,13,,172014,石川県,金沢市,,,,,,1,,1,1,,,,,,,,,,
170003,CC0000000014,金沢市立十一屋小学校,カナザワシリツジュウイチヤショウガコウ,kanazawashiritsujuichiyashogako,172014,,金沢市十一屋町３番45号,石川県,金沢市,十一屋町,３番４５号,,36.5450108,136.6609902,42,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000015,金沢市立野田中学校,カナザワシリツノダチュウガッコウ,kanazawashiritsunodachugakko,172014,,金沢市若草町１番23号,石川県,金沢市,若草町,１番２３号,,36.5441495,136.657608,47,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000016,いしかわ子ども交流センター,イシカワコドモコウリュウセンター,ishikawakodomokoryusenta,172014,,金沢市法島町11番８号,石川県,金沢市,法島町,11番８号,,36.54596678,136.6633576,33,,172014,石川県,金沢市,,,,,,1,,1,1,,,,1,,,,,,
170003,CC0000000017,金沢市城南公民館,カナザワシジョウナンコウミンカン,kanazawashijonankominkan,172014,,金沢市若草町22番12号,石川県,金沢市,若草町,２２番１２号,,36.54172445,136.6612,53,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000018,金沢市老人福祉センター万寿苑,カナザワシロウジンフクシセンターマンジュエン,kanazawashirojinfukushisentamanjuen,172014,,金沢市大桑町ヤ１番地４,石川県,金沢市,大桑町ヤ,1番地4,,36.52532371,136.6771646,129,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000019,つつじが丘児童公園,ツツジガオカジドウコウエン,tsutsujigaokajidokoen,172014,,金沢市つつじが丘202番地,石川県,金沢市,つつじが丘,202番地,,36.52746211,136.6789628,98,,172014,石川県,金沢市,,,,,,,,1,1,,,,,,,,,,
170003,CC0000000020,犀川緑地,サイガワリョクチ,saigawaryokuchi,172014,,金沢市涌波～普正寺町,石川県,金沢市,涌波～普正寺町,,,36.53661266,136.6872551,32,,172014,石川県,金沢市,,,,,,1,,1,1,,,,,,,,,,
170003,CC0000000021,西大桑町児童公園,ニシオオクワマチジオウコウエン,nishiokuwamachijiokoen,172014,,金沢市西大桑町715番地ほか,石川県,金沢市,西大桑町,715番地ほか,,36.54014038,136.6710197,38,,172014,石川県,金沢市,,,,,,1,,1,1,,,,,,,,,,
170003,CC0000000022,平和町公園,ヘイワマチコウエン,heiwamachikoen,172014,,金沢市平和町２丁目164番地,石川県,金沢市,平和町2丁目,164番地,,36.54119759,136.6652334,57,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000023,野田西公園,ノダニシコウエン,nodanishikoen,172014,,金沢市野田４丁目173番地,石川県,金沢市,野田4丁目,173番地,,36.53390058,136.6630946,70.3,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000024,野田東公園,ノダヒガシコウエン,nodahigashikoen,172014,,金沢市野田２丁目120番地,石川県,金沢市,野田2丁目,120番地,,36.53585778,136.6694119,63.6,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000025,野田南広場,ノダミナミヒロバ,nodaminamihiroba,172014,,金沢市野田１丁目45番地,石川県,金沢市,野田1丁目,45番地,,36.53186509,136.6726096,79.1,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000026,野田中央公園,ノダチュウオウコウエン,nodachuokoen,172014,,金沢市野田１丁目176番地,石川県,金沢市,野田1丁目,176番地,,36.53276842,136.6698635,75.5,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000027,金沢市立泉野小学校,カナザワシリツイズミノショウガッコウ,kanazawashiritsuizuminoshogakko,172014,,金沢市緑が丘４番64号,石川県,金沢市,緑が丘,4番64号,,36.54222617,136.6542223,46,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000028,石川県立金沢泉丘高等学校,イシカワケンリツカナザワイズミガオカコウトウガッコウ,ishikawakenritsukanazawaizumigaokakotogakko,172014,,金沢市泉野出町３丁目10番10号,石川県,金沢市,泉野出町3丁目,10番10号,,36.538141,136.648931,41,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000029,石川県立金沢二水高等学校,イシカワケンリツカナザワニスイコウトウガッコウ,ishikawakenritsukanazawanisuikotogakko,172014,,金沢市緑が丘20番15号,石川県,金沢市,緑が丘,20番15号,,36.54106419,136.6582053,51,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000030,金沢市営城南市民体育館,カナザワシエイジョウナンシミンタイイクカン,kanazawashieijonanshimintaiikukan,172014,,金沢市若草町１番60号,石川県,金沢市,若草町,1番60号,,36.544331,136.656789,46.5,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000031,金沢市総合体育館,カナザワシソウゴウタイイクカン,kanazawashisogotaiikukan,172014,,金沢市泉野出町３丁目８番１号,石川県,金沢市,泉野出町3丁目,8番１号,,36.53994487,136.6502078,42,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000032,泉野出町第１公園,イズミノデマチダイイチコウエン,izuminodemachidaiichikoen,172014,,金沢市泉野出町２丁目1601番地,石川県,金沢市,泉野出町２丁目,１６０１番地,,36.53743785,136.6509445,42,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000033,泉野出町第２児童公園,イズミノデマチダイニジドウコウエン,izuminodemachidainijidokoen,172014,,金沢市泉野出町１丁目2107番地,石川県,金沢市,泉野出町１丁目,2107番地,,36.53936887,136.656177,49,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000034,金沢市立長坂台小学校,カナザワシリツナガサカダイショウガッコウ,kanazawashiritsunagasakadaishogakko,172014,,金沢市長坂３丁目14番１号,石川県,金沢市,長坂3丁目,14番1号,,36.53498815,136.6573609,60,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000035,金沢大学人間社会学域学校教育学類附属高等学校,カナザワダイガクニンゲンシャカイガクイキキョウイクガクルイフゾクコウトウガッコウ,kanazawadaigakuningenshakaigakuikikyoikugakuruifuzokukotogakko,172014,,金沢市平和町１丁目１番15号,石川県,金沢市,平和町1丁目,1番15号,,36.53871218,136.6641995,58.8,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000036,金沢大学人間社会学域学校教育学類附属小学校,カナザワダイガクニンゲンシャカイガクイキキョウイクガクルイフゾクショウガッコウ,kanazawadaigakuningenshakaigakuikikyoikugakuruifuzokushogakko,172014,,金沢市平和町１丁目１番15号,石川県,金沢市,平和町1丁目,1番15号,,36.53671885,136.665952,61,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000037,金沢大学人間社会学域学校教育学類附属中学校,カナザワダイガクニンゲンシャカイガクイキキョウイクガクルイフゾクチュウガッコウ,kanazawadaigakuningenshakaigakuikikyoikugakuruifuzokuchugakko,172014,,金沢市平和町１丁目１番15号,石川県,金沢市,平和町1丁目,1番15号,,36.53749571,136.6656569,60.1,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000038,泉野出町第３児童公園,イズミノデマチダイサンジドウコウエン,izuminodemachidaisanjidokoen,172014,,金沢市泉野出町４丁目1533番地,石川県,金沢市,泉野出町4丁目,1533番地,,36.53555012,136.6521944,43.3,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000039,大乗寺丘陵公園,ダイジョウジキュウリョウコウエン,daijojikyuryokoen,172014,,金沢市長坂町ヲ135番地,石川県,金沢市,長坂町ヲ,135番地,,36.5303992,136.6567988,101,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000040,長坂みはらし公園,ナガサカミハラシコウエン,nagasakamiharashikoen,172014,,金沢市長坂３丁目1521番地,石川県,金沢市,長坂3丁目,1521番地,,36.5351129,136.6563848,58,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000041,長坂台児童公園,ナガサカダイジドウコウエン,nagasakadaijidokoen,172014,,金沢市長坂台136番地,石川県,金沢市,長坂台,136番地,,36.53239428,136.6526056,49,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000042,平和町第１児童公園,ヘイワマチダイイチジドウコウエン,heiwamachidaiichijidokoen,172014,,金沢市平和町３丁目419番地,石川県,金沢市,平和町3丁目,419番地,,36.53894813,136.6622215,57,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,,,,,,,
170003,CC0000000043,金沢市立犀桜小学校（旧金沢市立新竪町小学校）,カナザワシリツサイオウショウガッコウ（キュウカナザワシリツシンタテマチショウガッコウ）,kanazawashiritsusaioshogakko（kyukanazawashiritsushintatemachishogakko）,172014,,金沢市新竪町３丁目25番地,石川県,金沢市,新竪町3丁目,25番地,,36.5500487,136.6618654,26.3,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
170003,CC0000000044,石川県立工業高等学校,イシカワケンリツコウギョウコウトウガッコウ,ishikawakenritsukogyokotogakko,172014,,金沢市本多町２丁目３番６号,石川県,金沢市,本多町2丁目,3番6号,,36.55609278,136.6622834,28,,172014,石川県,金沢市,,,,,1,1,,1,1,,,,1,,,,,,
