id,緯度,経度,ジャンル1,サブジャンル1,ジャンル2,サブジャンル2,名称,概要,郵便番号,住所,電話番号,Fax番号,E-mail,営業時間,定休日,料金,備考1,備考2,備考3,リンク
1,37.396942,137.237662,消防・防災,指定避難所,,,宝立小学校 体育館,,927-1223,珠洲市宝立町鵜島４字３０番地,,,,,,,収容人数:310,,,
2,37.403237,137.237993,消防・防災,指定避難所,,,宝立小中学校,,927-1222,珠洲市宝立町鵜飼丑部８３番地,0768-84-1106,,,,,,収容人数:530,,,
3,37.427237,137.249932,消防・防災,指定避難所,,,上戸小学校,,927-1216 ,珠洲市上戸町寺社５字７４番地の２,0768-82‐0168,,,,,,収容人数:350,,,
4,37.439955,137.259781,消防・防災,指定避難所,,,飯田小学校,,927-1214 ,珠洲市飯田町１９部６１番地,0768-82‐0044,,,,,,収容人数:650,,,
5,37.44656,137.272807,消防・防災,指定避難所,,,緑丘中学校,,927-1213,珠洲市野々江町６の部１番地,0768-82‐0250,,,,,,収容人数:750,,,
6,37.443949,137.281698,消防・防災,指定避難所,,,直小学校,,927-1213,珠洲市野々江町ニ部３８番地の２,0768-82‐0313,,,,,,収容人数:260,,,
7,37.445435,137.296505,消防・防災,指定避難所,,,正院小学校,,927-1205 ,珠洲市正院町川尻１部３９番地,0768-82‐0404,,,,,,収容人数:400,,,
8,37.442814,137.313529,消防・防災,指定避難所,,,蛸島小学校,,927-1204 ,珠洲市蛸島町ワ部６９番地,0768-82‐0524,,,,,,収容人数:340,,,
9,37.451054,137.358934,消防・防災,指定避難所,,,里山里海自然学校（旧小泊小学校）,,927-1462,珠洲市三崎町小泊３３－７,0768-88‐2528,,,,,,収容人数:300,,,
10,37.486834,137.339245,消防・防災,指定避難所,,,みさき小学校,,927-1452 ,珠洲市三崎町粟津ロ部１０番地の１,0768-88‐2019,,,,,,収容人数:350,,,
11,37.466678,137.321716,消防・防災,指定避難所,,,旧本小学校 体育館,,927-1467 ,珠洲市三崎町本１７－４７,,,,,,,収容人数:300,,,
12,37.473969,137.342425,消防・防災,指定避難所,,,三崎中学校,,927-1454,珠洲市三崎町宇治ヨ部１１４番地,0768-88‐2423,,,,,,収容人数:480,,,
13,37.525404,137.281382,消防・防災,指定避難所,,,日置公民館,,927-1446,珠洲市折戸町チ部３４番地,0768-86-2220,,,,,,収容人数:80,,,
14,37.501186,137.171269,消防・防災,指定避難所,,,西部小学校,,927-1321,珠洲市大谷町２部４７番甲地,0768-87‐2016,,,,,,収容人数:330,,,
15,37.499946,137.176374,消防・防災,指定避難所,,,大谷中学校,,927-1321,珠洲市大谷町１字７８番地,0768-87‐2019,,,,,,収容人数:390,,,
16,37.453248,137.168772,消防・防災,指定避難所,,,旧上黒丸小学校,,927-1314,珠洲市若山町上黒丸１０部３４番地,0768-82‐1886,,,,,,収容人数:240,,,
17,37.456478,137.242632,消防・防災,指定避難所,,,若山小学校,,927-1239,珠洲市若山町古蔵１１部１００番地の１,0768-82‐0240,,,,,,収容人数:420,,,
18,37.401572,137.23932,消防・防災,指定避難所,,,宝立公民館,,927-1222,珠洲市宝立町鵜飼卯字４６番地,0768-84‐1500,,,,,,収容人数:80,,,
19,37.427517,137.251429,消防・防災,指定避難所,,,上戸公民館,,927-1216,珠洲市上戸町寺社２字５７番地の１,0768-82-0140,,,,,,収容人数:80,,,
20,37.439755,137.263186,消防・防災,指定避難所,,,飯田公民館,,927-1214,珠洲市飯田町１０部２０番地２,0768-82-0023,,,,,,収容人数:80,,,
21,37.443844,137.280098,消防・防災,指定避難所,,,直公民館,,927-1213,珠洲市野々江町ホの部８０番地の１,0768-82-3798,,,,,,収容人数:80,,,
22,37.444389,137.29434,消防・防災,指定避難所,,,正院公民館,,927-1206,珠洲市正院町正院２２部２番地１,0768-82-0416,,,,,,収容人数:80,,,
23,37.442986,137.316431,消防・防災,指定避難所,,,蛸島公民館,,927-1204 ,珠洲市蛸島町ヨ部１３９番地,0768-82‐3202,,,,,,収容人数:80,,,
24,37.474032,137.341785,消防・防災,指定避難所,,,三崎公民館,,927-1454,珠洲市三崎町宇治ヨ部１１４番地の１３,0768-88-2049,,,,,,収容人数:80,,,
25,37.501685,137.174025,消防・防災,指定避難所,,,大谷公民館,,927-1321,珠洲市大谷町２字５７番地の４,0768-87‐2222,,,,,,収容人数:80,,,
26,37.456711,137.241462,消防・防災,指定避難所,,,若山公民館,,927-1239,珠洲市若山町古蔵寅の部６０番地１,0768-82‐6153,,,,,,収容人数:80,,,
27,37.459931,137.286914,消防・防災,指定避難所,,,旧飯塚保育所,,927-1202,珠洲市正院町飯塚は部５７番地,,,,,,,収容人数:80,,,
