id,緯度,経度,ジャンル1,サブジャンル1,ジャンル2,サブジャンル2,名称,概要,郵便番号,住所,電話番号,Fax番号,E-mail,営業時間,定休日,料金,備考1,備考2,備考3,リンク
1,37.372928,137.234967,消防・防災,緊急一時避難場所,,,国道249号（松波鵜島ﾊﾞｲﾊﾟｽA）,,,珠洲市宝立町宗玄,,,,,,,標高:34.90m,想定津波高:6.8m,想定津波到達時間:16分,
2,37.373585,137.234784,消防・防災,緊急一時避難場所,,,国道249号（松波鵜島ﾊﾞｲﾊﾟｽB）,,,珠洲市宝立町宗玄,,,,,,,標高:31.00m,想定津波高:6.8m,想定津波到達時間:16分,
3,37.378231,137.233518,消防・防災,緊急一時避難場所,,,国道249号（松波鵜島ﾊﾞｲﾊﾟｽC）,,,珠洲市宝立町鵜島,,,,,,,標高:29.30m,想定津波高:6.8m,想定津波到達時間:16分,
4,37.380968,137.233926,消防・防災,緊急一時避難場所,,,国道249号（松波鵜島ﾊﾞｲﾊﾟｽD）,,,珠洲市宝立町鵜島,,,,,,,標高:30.30m,想定津波高:6.8m,想定津波到達時間:16分,
5,37.382809,137.233754,消防・防災,緊急一時避難場所,,,市道61号線（稲荷神社裏山）,,,珠洲市宝立町南黒丸,,,,,,,標高:53.90m,想定津波高:6.8m,想定津波到達時間:16分,
6,37.386788,137.231488,消防・防災,緊急一時避難場所,,,白山神社（南黒丸）,,,珠洲市宝立町南黒丸６－３５－１,,,,,,,標高:16.00m,想定津波高:6.8m,想定津波到達時間:16分,
7,37.38974,137.232628,消防・防災,緊急一時避難場所,,,農道宝立45号線（南黒丸）,,,珠洲市宝立町南黒丸,,,,,,,標高:16.40m,想定津波高:6.8m,想定津波到達時間:16分,
8,37.392792,137.234119,消防・防災,緊急一時避難場所,,,市道63号線（びや坂）,,,珠洲市宝立町柏原,,,,,,,標高:12.80m,想定津波高:7.8m,想定津波到達時間:16分,
9,37.395681,137.235653,消防・防災,緊急一時避難場所,,,たら山台地,,,珠洲市宝立町柏原,,,,,,,標高:28.20m,想定津波高:7.8m,想定津波到達時間:16分,
10,37.396942,137.237662,消防・防災,緊急一時避難場所,,,宝立小学校体育館,,927-1223,珠洲市宝立町鵜島４字３０番地,,,,,,,標高:18.00m,想定津波高:6.8m,想定津波到達時間:16分,
11,37.398918,137.226472,消防・防災,緊急一時避難場所,,,柏原集会所,,927-1228 ,珠洲市宝立町柏原,,,,,,,標高:13.40m,想定津波高:8.0m,想定津波到達時間:16分,
12,37.402517,137.225622,消防・防災,緊急一時避難場所,,,宝立米乾燥調製施設,,,珠洲市宝立町鵜飼,,,,,,,標高:37.10m,想定津波高:7.8m,想定津波到達時間:16分,
13,37.403237,137.237993,消防・防災,緊急一時避難場所,,,宝立小中学校（4階）,,927-1222,珠洲市宝立町鵜飼丑部８３番地,,,,,,,標高:16.20m,想定津波高:7.8m,想定津波到達時間:16分,
14,37.407094,137.231802,消防・防災,緊急一時避難場所,,,中野山道①,,,珠洲市宝立町春日野,,,,,,,標高:26.90m,想定津波高:8.0m,想定津波到達時間:16分,
15,37.408755,137.230697,消防・防災,緊急一時避難場所,,,中野山道②,,,珠洲市宝立町春日野,,,,,,,標高:22.80m,想定津波高:8.0m,想定津波到達時間:16分,
16,37.408393,137.233014,消防・防災,緊急一時避難場所,,,中野山道③,,,珠洲市宝立町春日野,,,,,,,標高:20.00m,想定津波高:8.0m,想定津波到達時間:16分,
17,37.411319,137.240272,消防・防災,緊急一時避難場所,,,長寿園,,927-1221,珠洲市宝立町春日野４－１１７,,,,,,,標高:16.50m,想定津波高:8.0m,想定津波到達時間:16分,
18,37.414286,137.237531,消防・防災,緊急一時避難場所,,,大畠台地,,,珠洲市宝立町春日野,,,,,,,標高:28.80m,想定津波高:8.0m,想定津波到達時間:16分,
19,37.41317,137.243292,消防・防災,緊急一時避難場所,,,旧谷崎街道,,,珠洲市宝立町春日野,,,,,,,標高:19.50m,想定津波高:8.0m,想定津波到達時間:16分,
20,37.417341,137.234881,消防・防災,緊急一時避難場所,,,県道280号線（神道）,,,珠洲市上戸町南方,,,,,,,標高:18.10m,想定津波高:9.1m,想定津波到達時間:17分,
21,37.416719,137.242879,消防・防災,緊急一時避難場所,,,市道95号線（山田宅前）,,,珠洲市上戸町南方,,,,,,,標高:19.50m,想定津波高:9.1m,想定津波到達時間:17分,
22,37.418632,137.238175,消防・防災,緊急一時避難場所,,,隨念山,,,珠洲市上戸町南方,,,,,,,標高:19.20m,想定津波高:9.1m,想定津波到達時間:17分,
23,37.424567,137.242525,消防・防災,緊急一時避難場所,,,清水山①,,,珠洲市上戸町南方,,,,,,,標高:22.50m,想定津波高:9.8m,想定津波到達時間:17分,
24,37.421819,137.240959,消防・防災,緊急一時避難場所,,,清水山②,,,珠洲市上戸町南方,,,,,,,標高:19.20m,想定津波高:9.1m,想定津波到達時間:17分,
25,37.429589,137.245435,消防・防災,緊急一時避難場所,,,高照寺,,927-1216,珠洲市上戸町寺社１１－４１乙,,,,,,,標高:16.30m,想定津波高:9.8m,想定津波到達時間:20分,
26,37.427237,137.249932,消防・防災,緊急一時避難場所,,,上戸小学校（3階）,,927-1216,珠洲市上戸町寺社５－７４－２,,,,,,,標高:10.30m,想定津波高:9.8m,想定津波到達時間:20分,
27,37.431429,137.249064,消防・防災,緊急一時避難場所,,,さんぺい山,,,珠洲市上戸町北方,,,,,,,標高:15.00m,想定津波高:9.4m,想定津波到達時間:20分,
28,37.435093,137.252562,消防・防災,緊急一時避難場所,,,のとスターライン（上戸高台）,,,珠洲市上戸町北方,,,,,,,標高:15.50m,想定津波高:9.4m,想定津波到達時間:20分,
29,37.442138,137.252777,消防・防災,緊急一時避難場所,,,晴気台地,,,珠洲市上戸町北方,,,,,,,標高:61.20m,想定津波高:9.4m,想定津波到達時間:20分,
30,37.43637,137.260406,消防・防災,緊急一時避難場所,,,珠洲市役所（5階）,,927-1295,珠洲市上戸町北方１－６－２,,,,,,,標高:20.50m,想定津波高:9.4m,想定津波到達時間:20分,
31,37.439955,137.259781,消防・防災,緊急一時避難場所,,,飯田小学校,,927-1214 ,珠洲市飯田町１９部６１番地,,,,,,,標高:23.10m,想定津波高:9.3m,想定津波到達時間:18分,
32,37.437914,137.25997,消防・防災,緊急一時避難場所,,,春日神社,,,珠洲市飯田町１７－５０,,,,,,,標高:12.30m,想定津波高:9.3m,想定津波到達時間:18分,
33,37.435723,137.265965,消防・防災,緊急一時避難場所,,,消防署訓練塔（5階・屋上）,,,珠洲市飯田町,,,,,,,標高:14.10m,想定津波高:9.3m,想定津波到達時間:18分,
34,37.432901,137.260049,消防・防災,緊急一時避難場所,,,珠洲商工会議所（4階）,,,珠洲市飯田町,,,,,,,標高:13.80m,想定津波高:9.3m,想定津波到達時間:18分,
35,37.447082,137.255722,消防・防災,緊急一時避難場所,,,白山神社（出田）,,927-1233 ,珠洲市若山町出田３４－２４,,,,,,,標高:15.90m,,,
36,37.446783,137.262316,消防・防災,緊急一時避難場所,,,石川県珠洲第１職員住宅,,927-1233 ,珠洲市若山町出田を６２－１,,,,,,,標高:21.30m,,,
37,37.462453,137.255993,消防・防災,緊急一時避難場所,,,道祖（ふなと）神社,,,珠洲市若山町鈴内１６－１丙,,,,,,,標高:31.50m,,,
38,37.460197,137.256139,消防・防災,緊急一時避難場所,,,旧東若山小学校跡地,,,珠洲市若山町経念,,,,,,,標高:22.10m,,,
39,37.460024,137.265179,消防・防災,緊急一時避難場所,,,市道6号線（岩坂峠）,,,珠洲市若山町広栗,,,,,,,標高:24.00m,,,
40,37.453296,137.265555,消防・防災,緊急一時避難場所,,,広栗山①,,,珠洲市若山町広栗,,,,,,,標高:17.60m,,,
41,37.452146,137.26548,消防・防災,緊急一時避難場所,,,広栗山②,,,珠洲市若山町広栗,,,,,,,標高:10.70m,,,
42,37.450749,137.265244,消防・防災,緊急一時避難場所,,,広栗山③,,,珠洲市若山町広栗,,,,,,,標高:23.80m,,,
43,37.449272,137.264916,消防・防災,緊急一時避難場所,,,広栗山④,,,珠洲市若山町広栗,,,,,,,標高:13.90m,,,
44,37.447525,137.268902,消防・防災,緊急一時避難場所,,,飯田高等学校駐車場・グラウンド,,927-1213 ,珠洲市野々江町１－１,,,,,,,標高:21.90m,想定津波高:6.4m,想定津波到達時間:19分,
